time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,SART_Target,SART_NonTarget,SART_Probe,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
1694.6176,2.2277638741612e-07,-4.64640582456846e-08,1.76312329170702e-07,-3.09284384080103e-07,1.56538026439915e-07,1.56538026439948e-07,,-4.09165305747016e-06,-5.55271191036132e-07,1.05775746339999e-07,3.87383310985697e-08,1.05775746340183e-07,1.53755957645087e-07,1.9128249384151e-08,,-5.4170597590542e-07,,-7.01145518797441e-07,2.67194644577069e-06,,-3.73129746165246e-07,-3.16003176750146e-06,,,,6.0009981100806e-07,,,-2.47429060287073e-07,-1.62293194454549e-06,7.76433188215449e-07,-5.79223534556089e-07,1.97209653659235e-07,,-1.29153687251012e-07,-3.5724101454903e-08,-6.5298067840397e-07,6.80776121465982e-07,6.80776121465887e-07,7.52420813057467e-08,-1.15170819847087e-07,-3.99287385416386e-08,8.72591325203735e-08,-4.89615283154891e-08,3.82976042048713e-08,,-8.01487988361052e-08,7.01759017668849e-08,,1.20418870418109e-06,-1.54327765883896e-06,0,1,0,0,103,,,,,,,,,,0.660194174757282
1694.72,2.31513465206712e-07,-4.23758341493501e-08,1.89137631057626e-07,-3.17123030825274e-07,1.44596092283457e-07,1.44596092283498e-07,,-3.98403050775886e-06,-5.32033379881614e-07,1.12620932839692e-07,3.63011660923862e-08,1.12620932839869e-07,1.7651015497768e-07,2.33493177534229e-08,,-6.3779414210624e-07,,-6.27720125011124e-07,2.86632483295357e-06,,-2.38849794866102e-07,-3.10324679309328e-06,,,,5.54572490248342e-07,,,-2.7855137898744e-07,-1.59283938808728e-06,7.80431502027349e-07,-6.09559139742665e-07,1.70872362284551e-07,,-1.37085175746639e-07,-4.60640975238428e-08,-6.79922717315927e-07,7.1001584170306e-07,7.10015841702978e-07,7.79774526553295e-08,-1.20852653671856e-07,-4.28752010168201e-08,9.17985503888777e-08,-4.96344862082959e-08,4.21640641805694e-08,,-3.30040284006839e-08,6.05657985544616e-08,,1.19334776047853e-06,-1.57004039683474e-06,0,1,0,0.102399999999989,102,987.492592592593,1205.81481481482,970.185185185185,,987.492592592593,,1205.81481481482,,970.185185185185,0.666666666666667
1694.8224,2.40772034792533e-07,-3.82368387714277e-08,2.02535196021368e-07,-3.22585318813156e-07,1.30804636157527e-07,1.30804636157575e-07,,-3.76346883296152e-06,-5.06808823491251e-07,1.18496747712257e-07,3.44966995328065e-08,1.18496747712428e-07,1.97658621752016e-07,2.77509462390571e-08,,-7.81510393565117e-07,,-5.46752696357091e-07,3.12601595124191e-06,,-6.99087711194504e-08,-2.98701466563134e-06,,,,5.0672580480527e-07,,,-3.12991627111502e-07,-1.56138822742706e-06,7.62021044366236e-07,-6.18140345160503e-07,1.43880699205591e-07,,-1.42301688240974e-07,-5.79126359708721e-08,-7.12274217196352e-07,7.38450192846797e-07,7.38450192846728e-07,7.86702402509001e-08,-1.26947316058288e-07,-4.82770758076787e-08,9.68457537838625e-08,-5.01089931493362e-08,4.67367606345147e-08,,1.97685209750699e-08,5.26599311022081e-08,,1.17849700770082e-06,-1.59445978644595e-06,0,1,0,0.204799999999977,103,912.771359223301,736.569902912621,1523.31067961165,890.650574712644,923.232038834952,675.119540229885,739.191262135922,1686.68965517241,1444.15533980583,0
1694.9248,2.5154453512561e-07,-3.4305477465764e-08,2.17239057660108e-07,-3.24990788919589e-07,1.15764114477222e-07,1.15764114477278e-07,,-3.44382027678096e-06,-4.82863075193485e-07,1.24172422042053e-07,3.33124869196556e-08,1.24172422042217e-07,2.18306065260511e-07,3.23054497777246e-08,,-9.43846281273986e-07,,-4.5341307349104e-07,3.44446613368228e-06,,1.31667294763378e-07,-2.81299850754189e-06,,,,4.59750168187738e-07,,,-3.50734653320907e-07,-1.52829428455277e-06,7.22873071272131e-07,-6.05244212786632e-07,1.17628858485348e-07,,-1.44941346542044e-07,-7.0527927079126e-08,-7.48590742047123e-07,7.665106790745e-07,7.66510679074442e-07,7.81947635040193e-08,-1.33337807840324e-07,-5.51430443365926e-08,1.02687325265817e-07,-5.03819890627724e-08,5.2305336203034e-08,,7.70116760747345e-08,4.83433772920241e-08,,1.16695900455608e-06,-1.62057907505864e-06,0,0,0,0.307199999999966,102,938.950490196079,556.476960784314,1729.80882352941,931.767647058824,946.133333333333,555.766666666667,557.187254901961,1809.8431372549,1649.77450980392,0
1695.0272,2.64324286576874e-07,-3.08063542697585e-08,2.33517932307377e-07,-3.24100783906149e-07,1.00099370284121e-07,1.00099370284187e-07,,-3.04522071804101e-06,-4.63635774318355e-07,1.30135553842656e-07,3.2685120825124e-08,1.30135553842814e-07,2.39000796260234e-07,3.69430434279391e-08,,-1.09547398416174e-06,,-3.43636244771672e-07,3.80781975520593e-06,,3.60709516928614e-07,-2.5850102577619e-06,,,,4.16936229738967e-07,,,-3.91377170736729e-07,-1.4931797499075e-06,6.66269202536028e-07,-5.72625767870242e-07,9.36434346656278e-08,,-1.45287254179864e-07,-8.32211824264748e-08,-7.86784317290429e-07,7.9409863182026e-07,7.94098631820215e-07,7.72037546228104e-08,-1.39821246075092e-07,-6.26174914525667e-08,1.09357596212239e-07,-5.04260910099603e-08,5.89315052022701e-08,,1.36893384303421e-07,4.92038822635554e-08,,1.16406870046551e-06,-1.65137811679304e-06,0,0,0,0.409599999999955,102,942.19068627451,562.361764705882,1749.24019607843,940.621568627451,943.759803921569,553.953921568628,570.769607843137,1834.64705882353,1663.83333333333,0
1695.1296,2.78982345979507e-07,-2.78852666399253e-08,2.51097079339844e-07,-3.20066183786799e-07,8.4367482123719e-08,8.43674821237938e-08,,-2.59203393467804e-06,-4.5317951587396e-07,1.36535655442153e-07,3.25258014861925e-08,1.36535655442305e-07,2.59572056574387e-07,4.15799458843e-08,,-1.20974236856758e-06,,-2.14983348957655e-07,4.19519161998762e-06,,6.09549908855968e-07,-2.3097473755288e-06,,,,3.81668051438473e-07,,,-4.34288006055968e-07,-1.45586863648191e-06,5.96668717714785e-07,-5.23392532751563e-07,7.32761849630552e-08,,-1.43668400328994e-07,-9.54878175688511e-08,-8.24334732378365e-07,8.20493629364394e-07,8.20493629364363e-07,7.59804945592513e-08,-1.4608161792042e-07,-7.01011233614506e-08,1.16605644924245e-07,-5.01751464414212e-08,6.64304984828161e-08,,1.97155223573058e-07,5.63333097795884e-08,,1.17309558291076e-06,-1.68857569975924e-06,0,0,0,0.511999999999944,103,943.428155339806,568.627669902913,1748.73786407767,944.11359223301,942.742718446602,566.767961165049,570.487378640777,1829.2427184466,1668.23300970874,0
1695.232,2.94738750529179e-07,-2.55760610460288e-08,2.69162689483413e-07,-3.13341103742123e-07,6.89586587970674e-08,6.89586587971516e-08,,-2.1098233091942e-06,-4.56031983421108e-07,1.43195477473355e-07,3.27556842049205e-08,1.43195477473501e-07,2.7918553671344e-07,4.61300781948614e-08,,-1.26613016012678e-06,,-6.6963403118905e-08,4.57993216116181e-06,,8.68789161677536e-07,-1.99644754981994e-06,,,,3.57214083660809e-07,,,-4.78843915207719e-07,-1.41662376786272e-06,5.18987136880577e-07,-4.61563930924284e-07,5.74232059561173e-08,,-1.4038479154917e-07,-1.07079800374347e-07,-8.58632725873498e-07,8.44374988844875e-07,8.44374988844858e-07,7.44184047168424e-08,-1.51687614293814e-07,-7.72692095772504e-08,1.2389886594675e-07,-4.9515291252164e-08,7.43835746945792e-08,,2.5541445084956e-07,7.01961963673013e-08,,1.1954996901921e-06,-1.73244601169921e-06,0,0,0,0.614399999999932,102,947.187745098039,579.165196078431,1751.24019607843,943.043137254902,951.332352941177,578.521568627451,579.808823529412,1840.1862745098,1662.29411764706,0
1695.3344,3.10230134059598e-07,-2.37810026195092e-08,2.86449131440352e-07,-3.04596623025146e-07,5.40234057837047e-08,5.40234057837984e-08,,-1.62182449979995e-06,-4.76572196199934e-07,1.4966903058221e-07,3.33376506780651e-08,1.4966903058235e-07,2.96581503656821e-07,5.05043244453562e-08,,-1.2534941065422e-06,,9.94302526748847e-08,4.93141329222266e-06,,1.12795616599658e-06,-1.65533772558335e-06,,,,3.46300121670013e-07,,,-5.24657976562007e-07,-1.37623981060279e-06,4.3779982234714e-07,-3.91431098571158e-07,4.6368723775796e-08,,-1.35668947003999e-07,-1.18000029678226e-07,-8.87421993479539e-07,8.6397751073428e-07,8.63977510734279e-07,7.2120981831946e-08,-1.56115114063954e-07,-8.39941322322839e-08,1.30456262616289e-07,-4.8280301980066e-08,8.21759606362173e-08,,3.09479934962656e-07,9.05698283777489e-08,,1.23132276394121e-06,-1.78154881647198e-06,0,0,0,0.716799999999921,103,951.327669902913,580.13932038835,1742.50485436893,951.356310679612,951.299029126214,597.772815533981,562.505825242718,1812.98058252427,1672.02912621359,0
1695.4368,3.23669958447903e-07,-2.22683548374259e-08,3.01401603610741e-07,-2.94659280692757e-07,3.94710966503554e-08,3.94710966504584e-08,,-1.1459984641996e-06,-5.18199038890114e-07,1.55325567795615e-07,3.42897628492243e-08,1.55325567795749e-07,3.10392054973173e-07,5.46050516648226e-08,,-1.17203707488101e-06,,2.8264757183534e-07,5.21690744001945e-06,,1.376021738949e-06,-1.29579837744755e-06,,,,3.50634614516501e-07,,,-5.71684830320466e-07,-1.33596407773065e-06,3.56758547881868e-07,-3.16980299282138e-07,3.97782485995342e-08,,-1.29670584479491e-07,-1.28428623822944e-07,-9.09219408597043e-07,8.77338647432273e-07,8.77338647432289e-07,6.85703063647833e-08,-1.58785807924362e-07,-9.02155015598505e-08,1.35313135997945e-07,-4.6253128172158e-08,8.90600078257817e-08,,3.57621031480908e-07,1.16535600845667e-07,,1.27959300741438e-06,-1.83250241172725e-06,0,0,0,0.81919999999991,102,954.93137254902,573.438235294118,1743.74019607843,957.443137254902,952.419607843137,597.967647058824,548.908823529412,1811.44117647059,1676.03921568627,0
1695.5392,3.33074813216276e-07,-2.06972774941978e-08,3.12377535722342e-07,-2.84478432187058e-07,2.50404758546287e-08,2.504047585474e-08,,-6.93787493936891e-07,-5.82640325908227e-07,1.59437153100165e-07,3.56724261237418e-08,1.59437153100292e-07,3.19410664168882e-07,5.83226017675932e-08,,-1.03305118338558e-06,,4.81282166762692e-07,5.40393297462995e-06,,1.6018385614513e-06,-9.25319060733759e-07,,,,3.70595941164148e-07,,,-6.20118447702471e-07,-1.29731360793841e-06,2.78376517259725e-07,-2.41545677744251e-07,3.68308395152668e-08,,-1.22449244674118e-07,-1.38615199587622e-07,-9.23560064050071e-07,8.82560681406251e-07,8.82560681406283e-07,6.32920572139096e-08,-1.5911669635491e-07,-9.58246391412688e-08,1.37419430761916e-07,-4.31816897304085e-08,9.42377410315021e-08,,3.98735192851167e-07,1.46518035411164e-07,,1.33880461274534e-06,-1.88009788074203e-06,0,0,0,0.921599999999899,102,950.752941176471,576.859803921569,1742.81862745098,954.46568627451,947.040196078431,605.325490196079,548.394117647059,1806.95098039216,1678.6862745098,0
